origin_crs,dest_crs,single_fare_gbp,ticket_code
DNG,LON,14.8,SDS
DNG,STP,14.8,SDS
ERH,LON,9.4,SDS
FNR,LON,13.5,SDS
FNR,STP,13.6,SDS
KDB,LON,5.9,SDS
KCK,LON,9.4,SDS
LEE,LON,5.9,SDS
LEN,LON,35.0,SDS
LEN,STP,35.1,SDS
BFR,CHX,4.1,SDS
BFR,LBG,4.1,SDS
BFR,WAE,4.1,SDS
LGF,LON,15.5,SDS
LGF,STP,15.6,SDS
MEP,LON,16.9,SDS
MEP,STP,17.0,SDS
NEH,LON,7.0,SDS
NFL,BFR,4.0,TKR
NFL,LBG,4.0,TKR
NFL,LON,15.4,SDS
NFL,STP,4.0,TKR
CTK,CHX,4.1,SDS
CTK,LBG,4.1,SDS
CTK,WAE,4.1,SDS
ORP,LON,9.4,SDS
PET,LON,8.5,SDS
SEV,LON,15.3,SDS
SEV,STP,15.3,SDS
SOR,LON,18.3,SDS
SOR,STP,18.4,SDS
WLI,LON,7.0,SDS
WMA,LON,24.1,SDS
WMA,STP,24.2,SDS
BRG,LON,20.8,SDS
BRG,STP,20.9,SDS
